Round,Total profit,Profit per km
668,26253989,64.5043721177069
669,26347670,64.69877417517115
670,26419648,64.79262894321863
671,26418903,64.76713507523792
672,26518157,64.9867223781108
673,26517412,64.9611762746078
674,26550089,64.8732447020361
675,26547134,64.77248860564302
676,26614492,64.84443859700416
677,26681557,64.91483952275293
678,26679977,64.8611294792629
679,26727538,64.8421325880532
680,26809194,64.97891091004719
681,26885278,65.08996048885359
682,26932839,65.07056984503578
683,26976294,65.0325786139263
684,26975169,64.99461252852156
685,27022730,64.9755104101796
686,27020785,64.91012059190929
687,27020040,64.88510646472749
688,27096050,64.99490279326929
689,27093720,64.91675072658921
690,27164451,65.00243120945491
691,27162506,64.93733026049038
692,27234484,65.0284115193322
693,27270827,64.95899870419422
694,27346837,65.06782826768693
695,27345257,65.0151855215669
696,27343677,64.96262181823366
697,27414408,65.04752142592751
698,27412463,64.98292721665273
699,27484441,65.07318603472851
700,27483316,65.03587663605364
701,27546128,65.08501936285687
702,27577778,64.99532882084543
703,27648509,65.07950955884776
704,27719240,65.16347736141803
705,27717295,65.09937313425824
706,27716550,65.0748500885147
707,27803559,65.23073945297654
708,27866371,65.27916744752623
709,27863431,65.18249553182929
710,27861851,65.13065238531595
711,27914691,65.13510404465123
712,27951034,65.0670177129382
713,27987377,64.99924984904082
714,28061848,65.09857632340216
715,28121947,65.13479328314997
716,28174421,65.13759747721004
717,28207098,65.05417049128909
718,28277829,65.13647692406917
719,28275884,65.07368803809253
720,28326598,65.0689542693852
721,28377312,65.06423810539204
722,28428026,65.05953944808836
723,28478740,65.0548582001759
724,28477995,65.03102207282708
725,28545060,65.09676124624289
726,28607872,65.14403344658292
727,28646341,65.08668199561035
728,28684810,65.0295848598063
729,28747622,65.07667685342388
730,28744682,64.98352391157893
731,28743102,64.93356436404054
732,28790663,64.91576927586425
733,28788718,64.85450003041247
734,28810470,64.72764730860048
735,28843147,64.64754124081047
736,28913658,64.72709485763407
737,28912533,64.69199151537391
738,29006214,64.86894583708859
739,29005089,64.83380646257287
740,29098770,65.01051159403129
741,29097645,64.97533640297794
742,29145206,64.95766693411785
743,29205305,64.99267852493418
744,29227277,64.86791502243844
745,29273592,64.84535383674799
746,29270652,64.7544980919197
747,29303329,64.67555321111851
748,29300374,64.58478683986043
749,29376384,64.68588692008395
750,29374804,64.63743164889813
751,29468485,64.81148280109088
752,29538996,64.88935264410034
753,29537416,64.84087132329536
754,29600228,64.8867406282128
755,29597288,64.79677562717423
756,29673298,64.89697465428213
757,29747769,64.99062535501743
758,29778906,64.90578942550381
759,29802931,64.7922200457849
760,29799991,64.70311682390108
761,29798411,64.65532534428627
762,29892092,64.82694217815427
763,29890967,64.79288623569627
764,29929436,64.73902952354378
765,29951408,64.61840901637929
766,29997723,64.59694476326652
767,30021748,64.48551630516498
768,30043500,64.3655037663573
769,30099640,64.38411896445142
770,30096700,64.29696062073666
771,30167211,64.3731963382626
772,30189183,64.25513533532127
773,30227652,64.20336823056385
774,30303736,64.30146241268386
775,30359876,64.31999966102629
776,30412863,64.32595871766291
777,30411883,64.29723101382908
778,30409553,64.22902493373182
779,30480284,64.30534628148517
780,30540383,64.3394294213316
781,30593370,64.34532322654462
782,30590430,64.25966927426876
783,30660941,64.33467482191004
784,30659816,64.3019567542627
785,30753497,64.46800968482397
786,30825475,64.54839851242576
787,30907131,64.6667106047767
788,30905186,64.61005489887819
789,30986842,64.72812461486079
790,31034403,64.71203372972433
791,31032823,64.66612974142153
792,31065500,64.591953425512
793,31062545,64.50654253739557
794,31129390,64.5661146739897
795,31126435,64.48094455826633
796,31124105,64.41393533379278
797,31223359,64.59942938481973
798,31222614,64.5779803800309
799,31293345,64.65233200764423
800,31340906,64.636550562099
801,31403718,64.67991967457907
802,31466530,64.72317353359209
803,31519370,64.72774579887587
804,31586728,64.78837093389835
805,31633043,64.76765941589818
806,31676498,64.73601625119043
807,31674553,64.68062126945296
808,31673808,64.65942644368957
809,31744539,64.73272307573095
810,31742594,64.67745215298818
811,31741849,64.6563047428157
812,31828858,64.79183223137804
813,31891670,64.83443587439571
814,31888730,64.75105689141938
815,31921407,64.6785907496672
816,31952544,64.60057782081894
817,31950599,64.54588227213408
818,32015684,64.59710948486848
819,32013354,64.53173334515921
820,32112608,64.7123707268316
821,32111863,64.6914451484231
822,32110283,64.6471076160507
823,32203964,64.80635748582284
824,32202839,64.77476460874061
825,32201259,64.73044242130634
826,32271770,64.80171001269056
827,32342281,64.87282293214909
828,32340701,64.82856283764144
829,32403513,64.87046931899398
830,32400573,64.78831791305322
831,32433250,64.71687458595727
832,32457275,64.61332268962099
833,32454335,64.5319325776119
834,32541344,64.66430991485092
835,32604156,64.70606353484256
836,32660296,64.72281210737627
837,32659551,64.70223093031042
838,32758805,64.87971266507697
839,32834889,64.97056478181807
840,32928570,65.12693678476917
841,32974885,65.10638192849824
842,32971945,65.02508554130141
843,32970365,64.98147348836476
844,32968785,64.93791572532436
845,32967205,64.89441215087015
846,32965625,64.85096266394402
847,33052634,64.98173382221393
848,33105474,64.98570747133545
849,33103144,64.92174632717061
850,33101564,64.87844001183828
851,33177648,64.96835162941524
852,33176903,64.94794282951237
853,33175323,64.9046991131571
854,33173743,64.86150883264412
855,33244254,64.93069086477239
856,33290569,64.91072539274315
857,33322219,64.83704065470933
858,33353356,64.76178604159871
859,33384493,64.68684580715916
860,33432054,64.67198635065809
861,33470523,64.62414128659306
862,33530622,64.65491728836176
863,33574077,64.62531110507989
864,33572952,64.5951699298116
865,33571372,64.55288235972772
866,33642103,64.62203658100876
867,33673753,64.55003651740854
868,33726740,64.55508575956696
869,33822547,64.71418840704493
870,33887632,64.76251194434889
871,33969288,64.87033871925661
872,34016849,64.85539453539828
873,34079661,64.8952221179132
874,34146726,64.95020514059311
875,34217237,65.01741855065194
876,34216112,64.98749674740695
877,34214532,64.94551639177782
878,34285263,65.01338372298083
879,34355994,65.0811127212798
880,34354414,65.03918699156209
881,34401975,65.02409911825579
882,34462074,65.05371233114613
883,34484046,64.94769950522742
884,34520389,64.89307238541389
885,34518059,64.83189901281685
886,34588790,64.8991672952293
887,34619927,64.82646805482736
888,34616972,64.74927940953667
889,34614642,64.68853684472161
890,34690652,64.77417596062462
891,34688322,64.71351736566491
892,34686742,64.67244404254724
893,34734303,64.65816764364789
894,34732358,64.6077628220868
895,34808442,64.69333318464909
896,34902123,64.84032971810106
897,34948438,64.82148348601221
898,35015503,64.87512066061804
899,35048180,64.80874417985406
900,35072205,64.71256658591174
901,35139563,64.76706054523706
902,35214034,64.84611446670596
903,35245684,64.77664300115234
904,35312749,64.82983996666049
905,35399758,64.95189673678706
906,35438227,64.90600978400822
907,35490701,64.90855737225209
908,35487746,64.83307665185039
909,35563756,64.91667412022188
910,35634267,64.98121186480859
911,35633142,64.95251028521535
912,35680703,64.9381170865054
913,35755174,65.01602708639425
914,35752844,64.95674860558493
915,35751264,64.91660825891641
916,35749684,64.87651394993485
917,35820415,64.94146814605315
918,35818470,64.89217691573259
919,35840222,64.79002485651014
920,35837267,64.71554230487246
921,35834937,64.65692525873641
922,35921946,64.77698233516305
923,35969507,64.76301309681996
924,36017068,64.7490867514238
925,36015488,64.70948592455244
926,36013908,64.66993003979256
927,36066748,64.67399716678322
928,36134106,64.72699882132505
929,36131166,64.65363376410507
930,36129586,64.6142700274341
931,36177147,64.6006639143447
932,36208284,64.53204298775597
933,36205329,64.458881464746
934,36202999,64.40130250628394
935,36201419,64.36231183206718
936,36264231,64.40002024474835
937,36331296,64.45181719966578
938,36418305,64.5699744509435
939,36456774,64.52629156924624
940,36509248,64.52928180311005
941,36533273,64.4379216619367
942,36600338,64.48932852428283
943,36598758,64.45065923287025
944,36692439,64.59003981819527
945,36762950,64.6525905564847
946,36795627,64.58999262743997
947,36826764,64.5225542173741
948,36901235,64.59791332965715
949,36898905,64.54118426967472
950,36969416,64.6033845229025
951,36968291,64.57602838192626
952,36966711,64.5376444893705
953,37033776,64.5884254971825
954,37030836,64.51713594288194
955,37063513,64.45536897462028
956,37060558,64.38405745487016
957,37058228,64.32793191258898
958,37056648,64.28992416711341
959,37132732,64.36999362068009
960,37154484,64.27333021952359
961,37187161,64.21244562936972
962,37185581,64.17470053137237
963,37184001,64.13699657961325
964,37182421,64.09933370684826
965,37180841,64.06171184597969
966,37179261,64.02413093005595
967,37242073,64.0610317655538
968,37295060,64.0662185445594
969,37317032,63.97176241480039
970,37315907,63.94516939960004
971,37378719,63.98197727860159
972,37441531,64.01870384523974
973,37480000,63.97749521619716
974,37479020,63.95442530804895
975,37555030,64.03321096756483
976,37553450,63.99603618894734
977,37606290,64.0007930686481
978,37603960,63.94611406717376
979,37602380,63.909084883228836
980,37600800,63.87209545277727
981,37667865,63.92217072785804
982,37734930,63.97214616903868
983,37821939,64.0853212827929
984,37915620,64.21957093931972
985,37951963,64.17167529290022
986,37949633,64.11721483614049
987,38020364,64.17838110655164
988,38051501,64.11427391974658
989,38073253,64.02083231741665
990,38095005,63.92776893038679
991,38126142,63.86448905751401
992,38200613,63.93707654919394
993,38267458,63.98566371770198
994,38264503,63.917560059734
995,38262173,63.86395546801976
996,38349182,63.97544024716567
997,38411994,64.01124179695442
998,38436019,63.92610647360446
